Attraction,Noel,Harsh,Vikranth,Muthuraj,Armaan
North Bay Island,4.8,3.4574951451790192,0.1464742124896341,3.5021357576708323,2.2497802495640142
Chidiya Tapu,2.5365329467741806,3.7005082805567096,0.6286842278233973,4.7,4.7
Baratang Island,4.8,3.6905391469561444,1.8909780613974332,3.442759417168928,2.5477987853048676
Jolly Buoy Island,4.7,5.2832953344810125,4.7,4.7,4.7
Mahatma Gandhi Marine National Park,3.035483281384946,4.168229495607398,1.8555836937658716,4.8,3.7157478232157164
Mount Harriet National Park,4.7,4.45255614247085,1.667545093572747,4.7,4.7
Cinque Island,4.8,4.806480578544275,4.8,3.7705346260287245,3.9740041180297583
Limestone Caves,4.7,4.653234833386929,4.7,3.878827305480206,2.7658434226432482
Anthropological Museum,4.6,4.6,4.6,4.6,3.604931120898952
Forest Museum,3.5099599810433917,4.2057167626707335,1.0370396368117363,4.8,3.8576759046872864
Samudrika Naval Marine Museum,1.7967053570615155,2.6979235551126117,0.9926905591960344,3.210972261599628,1.3787281401114932
Corbyn's Cove Beach,2.5136766814776212,4.6,3.6122966326990142,4.874538202859911,4.6
Kala Pathar Beach,1.805229025596337,2.7043508879159925,1.0076511337580463,3.2140612846116032,1.3876165172683501
Little Andaman Island,2.7781909213740645,3.9826805319950926,1.49050987208097,4.7,3.7109808146969847
Barren Island,1.7958883409306492,2.697020530877741,0.9979437480252303,3.209294903678646,1.3731790406105853
Lalaji Bay Beach,2.255358601826893,4.166873411535729,4.7,3.209089782529649,2.5056028129163583
Mud Volcanoes,4.6,4.748574348988745,4.6,4.6,4.306053852360164
Parrot Island,3.541277733205783,4.9458649049468475,4.8,4.469071504569815,4.8
Gandhi Park,3.7605920410704146,4.170945598923338,4.7,3.464468387771395,2.9848501794999502
Bamboo Flat,3.7010589808346994,4.6,2.982176723673541,4.370701937886588,3.7805558223142484
Phoenix Bay Jetty,4.8,3.4884589079306974,0.7885210910475369,3.750101159150506,2.762139772509422
Bamdera Beach,3.6088723059136916,4.7,3.569401414613005,4.344618556070613,3.4041433775438943
Sippighat Farm,2.141184385160449,3.990449635000643,3.203903374108999,4.6,4.6
Jogger's Park,3.715877272221194,4.7,3.587494697442663,4.289217119093497,3.657020595019244
Agatti Island,1.8037526927230498,2.7004509006543707,0.9993182152969325,3.213865498059395,1.3825939859870844
